1712,1712,0,0,AGGREGATED,165761.69,75,1766.01,1764.22,3.89,0.03,0.01,32612.00,82342.25,6.82,0.49,339,280,7212,7271,0,0
3208,3208,0,0,AGGREGATED,396701.10,75,2525.56,2498.99,8.67,0.06,0.03,140119.00,255233.21,4.82,0.35,512,524,12257,12245,0,0
4708,4708,0,0,AGGREGATED,740250.24,75,3392.79,3347.19,12.81,0.09,0.04,344466.00,543204.18,3.60,0.26,714,889,16569,16384,0,0,2
6200,6200,0,0,AGGREGATED,1090717.25,75,3839.66,3778.81,16.84,0.11,0.06,543104.00,834601.73,3.19,0.23,1070,1059,21660,21667,0,0,4
7692,7692,0,0,AGGREGATED,1657717.95,75,4178.73,4108.82,20.07,0.13,0.07,845791.00,1300598.77,2.93,0.21,1689,1324,29785,30143,0,0,5
9192,9192,0,0,AGGREGATED,2534565.04,75,5840.49,5720.00,27.51,0.18,0.09,1541941.00,2141796.76,2.10,0.15,2031,1256,32621,33336,0,0,32
10684,10684,0,0,AGGREGATED,3194173.47,75,6131.12,6005.19,22.89,0.15,0.08,1994228.65,2721802.13,2.00,0.14,2814,1422,38088,39387,0,0,40
loaded,inserted,running,waiting,id,sampledSeconds,numEdges,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo
