1712,1712,0,0,AGGREGATED,528609.10,534,12933.09,13124.31,1.64,0.00,0.00,81347.00,261705.73,6.94,0.50,1712,1712,21294,21294,0,0
3208,3208,0,0,AGGREGATED,1696178.21,534,21624.20,21637.55,4.90,0.00,0.00,431436.00,1174599.37,4.21,0.30,3208,3208,41264,41264,0,0
4708,4708,0,0,AGGREGATED,3934813.41,534,32756.73,32482.67,9.00,0.01,0.00,1573121.00,3128909.74,2.80,0.20,4708,4707,63396,63350,0,0,24
6200,6200,0,0,AGGREGATED,5279349.42,534,33314.39,33026.48,10.78,0.01,0.00,2040703.00,4217607.95,2.76,0.20,6200,6200,83228,83188,0,0,15
7692,7692,0,0,AGGREGATED,7562323.86,534,38453.71,38000.96,12.11,0.01,0.01,3614399.15,6239201.46,2.40,0.17,7692,7681,103665,103560,0,0,63
9192,9192,0,0,AGGREGATED,10847177.22,534,45318.90,44697.66,15.57,0.01,0.01,5496349.00,9229448.62,2.04,0.15,9192,9190,126745,126503,0,0,111
10684,10684,0,0,AGGREGATED,16411909.11,534,58602.32,57637.41,15.55,0.01,0.01,10143270.91,14510969.22,1.58,0.11,10684,10680,149173,148175,0,0,443
loaded,inserted,running,waiting,id,sampledSeconds,numEdges,traveltime,overlapTraveltime,density,laneDensity,occupancy,waitingTime,timeLoss,speed,speedRelative,departed,arrived,entered,left,laneChangedFrom,laneChangedTo
