9192,9192,0,0,AGGREGATED,2613365.14,75,7206.84,7116.52,18.81,0.13,0.06,1080019.80,2289732.32,1.69,0.12,1297,1433,26706,26549,0,0,10
10684,10684,0,0,AGGREGATED,4184553.16,75,8618.96,8482.40,23.51,0.16,0.08,2113940.66,3747955.92,1.42,0.10,2256,1324,36237,36962,0,0,45
1712,1712,0,0,AGGREGATED,255197.43,75,2754.42,2714.84,5.91,0.04,0.02,124674.00,171854.63,4.43,0.32,333,295,7249,7287,0,0
3208,3208,0,0,AGGREGATED,634270.51,75,3643.70,3582.64,13.43,0.09,0.04,333714.00,477444.66,3.36,0.24,597,681,13358,13269,0,0,1
4708,4708,0,0,AGGREGATED,998909.22,75,4353.33,4275.33,16.59,0.11,0.05,557375.00,792040.28,2.82,0.20,890,872,17338,17353,0,0,2
6200,6200,0,0,AGGREGATED,1315352.99,75,4681.73,4593.65,16.70,0.11,0.05,729037.00,1062821.34,2.62,0.19,1060,840,21711,21918,0,0,1
7692,7692,0,0,AGGREGATED,2002897.40,75,4938.34,4846.73,21.07,0.14,0.07,1137846.00,1637887.48,2.48,0.18,1842,1567,29743,29981,0,0,7
9192,9192,0,0,AGGREGATED,2725494.05,75,6377.42,6239.25,23.30,0.16,0.08,1756521.46,2339825.33,1.93,0.14,1614,1762,32274,32043,0,0,38
10684,10684,0,0,AGGREGATED,3504303.50,75,6872.12,6721.88,22.27,0.15,0.07,2375718.44,3043642.06,1.79,0.13,1409,2265,38934,37807,0,0,98
1712,1712,0,0,AGGREGATED,221041.99,75,2450.61,2420.64,4.98,0.03,0.02,98248.00,140261.82,4.97,0.36,312,293,7007,7026,0,0
3208,3208,0,0,AGGREGATED,478452.07,75,3592.67,3534.00,10.25,0.07,0.03,237766.00,358467.47,3.41,0.25,602,371,10235,10466,0,0
4708,4708,0,0,AGGREGATED,872367.58,75,4115.63,4046.78,16.96,0.11,0.06,485100.00,681366.88,2.97,0.21,742,701,16263,16304,0,0,1
6200,6200,0,0,AGGREGATED,1381302.06,75,5213.82,5110.31,18.82,0.13,0.06,828593.00,1141687.12,2.36,0.17,1186,831,19935,20282,0,0,6
7692,7692,0,0,AGGREGATED,2351458.65,75,6693.72,6542.77,20.23,0.13,0.07,1595015.00,2035036.47,1.84,0.13,1323,1131,27386,27484,0,0,30
9192,9192,0,0,AGGREGATED,2674775.16,75,6189.70,6058.56,21.67,0.14,0.07,1709483.00,2283860.51,1.99,0.14,2117,1266,32016,32743,0,0,28
10684,10684,0,0,AGGREGATED,2941140.43,75,6458.01,6311.44,17.97,0.12,0.06,1935953.00,2529027.41,1.91,0.14,2137,1255,35086,35901,0,0,30
1712,1712,0,0,AGGREGATED,167433.31,75,2091.66,2072.60,3.77,0.03,0.01,65400.00,96249.91,5.81,0.42,295,275,6106,6126,0,0
3208,3208,0,0,AGGREGATED,433205.80,75,3153.68,3106.11,9.27,0.06,0.03,215031.00,309934.25,3.88,0.28,441,441,10745,10745,0,0
4708,4708,0,0,AGGREGATED,694734.93,75,3560.26,3503.98,11.07,0.07,0.04,367386.00,519657.95,3.44,0.25,574,717,15024,14877,0,0,1
6200,6200,0,0,AGGREGATED,1356079.42,75,5241.26,5134.98,17.40,0.12,0.06,888228.00,1123283.28,2.34,0.17,763,1056,20000,19509,0,0,38
7692,7692,0,0,AGGREGATED,1689781.83,75,5229.70,5127.25,20.91,0.14,0.07,1006652.00,1398895.96,2.35,0.17,1395,961,24064,24490,0,0,7
9192,9192,0,0,AGGREGATED,2464489.06,75,6887.39,6735.55,22.61,0.15,0.07,1695646.45,2140785.57,1.79,0.13,1526,984,27005,27457,0,0,45
10684,10684,0,0,AGGREGATED,2497798.58,75,5959.11,5828.64,18.79,0.13,0.06,1605263.00,2119374.34,2.07,0.15,1458,1092,32891,33189,0,0,16
